mode,mean_fidelity,ci95_low,ci95_high,shots_per_state
direct,0.9947916666666666,0.9921875,0.9970703125,[512]
none,0.7503255208333334,0.7356770833333334,0.7646484375,[512]
x_only,0.6793619791666666,0.6640625,0.6946614583333334,[512]
z_only,0.6780598958333334,0.6627604166666666,0.6930338541666666,[512]
both,0.6796875,0.6643880208333334,0.6946614583333334,[512]
conditional_shadow,0.6809895833333334,0.666015625,0.6962890625,[512]
delay_2us,0.63671875,0.6197916666666666,0.6536458333333334,[512]
delay_4us,0.4742838541666667,0.4573567708333333,0.4912109375,[512]
delay_8us,0.4609375,0.4440104166666667,0.4778645833333333,[512]
